Item_ID,Category,Region,Date,Stock_Level,Demand,Supply,Is_Scarce,Potentially_Scarce,Conversion_Rate,Experience_Score,Dispute_Amount,Win_Amount,Recouped_Amount,Tag_Status,Net_Loss,Spike_Indicator
ITEM00000,Home Appliances,South,2023-07-27,270,623,71,No,No,0.31,3,162.62,185.71,29.37,Reviewed,-52.46000000000001,No
ITEM00001,Toys,West,2023-07-29,391,913,644,No,Yes,0.48,6,328.36,227.56,85.72,Flagged,15.080000000000013,No
ITEM00002,Groceries,Central,2023-01-01,431,148,373,No,No,0.15,7,417.27,420.27,219.58,Resolved,-222.58,No
ITEM00003,Toys,West,2023-12-26,226,353,566,Yes,Yes,0.24,3,431.93,17.13,226.7,Reviewed,188.10000000000002,No
ITEM00004,Toys,West,2023-03-06,471,958,310,No,No,0.27,3,437.88,253.94,97.37,Escalated,86.57,No
ITEM00005,Apparel,Central,2023-01-01,243,479,970,No,No,0.47,7,783.51,229.77,281.91,Reviewed,271.83,No
ITEM00006,Groceries,West,2023-08-31,307,348,841,Yes,No,0.76,10,620.18,110.85,150.52,Flagged,358.80999999999995,No
ITEM00007,Groceries,Central,2023-11-12,54,171,178,No,Yes,0.38,9,641.78,121.71,263.51,Escalated,256.55999999999995,No
ITEM00008,Groceries,Central,2023-01-25,36,546,675,No,No,0.4,3,768.66,290.46,158.94,Escalated,319.26,No
ITEM00009,Toys,Central,2023-12-13,387,605,333,No,Yes,0.34,6,206.91,484.35,3.63,Resolved,-281.07000000000005,No
ITEM00010,Home Appliances,South,2023-02-19,54,808,96,Yes,No,0.36,5,464.43,396.47,29.85,Escalated,38.10999999999998,No
ITEM00011,Groceries,East,2023-12-14,11,352,902,No,No,0.42,8,855.18,250.07,31.57,Escalated,573.5399999999998,No
ITEM00012,Toys,South,2023-08-29,402,969,237,Yes,No,0.82,9,705.7,287.04,215.3,Resolved,203.36,No
ITEM00013,Apparel,Central,2023-02-01,462,398,68,No,No,0.12,8,880.09,287.07,258.07,Resolved,334.95,No
ITEM00014,Home Appliances,East,2023-02-02,184,833,648,No,Yes,0.6,1,453.22,350.75,157.71,Escalated,-55.23999999999998,No
ITEM00015,Apparel,East,2023-07-19,477,159,703,No,No,0.81,7,765.88,168.66,256.28,Escalated,340.94000000000005,No
